wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,0,202000,71.47,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1100,2020,0,202000,69.93,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1200,2020,0,202000,69.1,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1300,2020,0,202000,69.47,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1400,2020,0,202000,71.6,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1500,2020,0,202000,71.16,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1600,2020,0,202000,69.88,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1700,2020,0,202000,69.35,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1800,2020,0,202000,70.65,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1900,2020,0,202000,70.64,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
2100,2020,0,202000,69.96,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3100,2020,0,202000,72.91,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3200,2020,0,202000,73.04,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3300,2020,0,202000,74.37,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3400,2020,0,202000,74.99,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3500,2020,0,202000,71.3,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
3600,2020,0,202000,69.96,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5100,2020,0,202000,72.13,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5200,2020,0,202000,66.51,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
5300,2020,0,202000,67.01,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6100,2020,0,202000,70.69,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6200,2020,0,202000,69.74,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6300,2020,0,202000,68.66,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6400,2020,0,202000,74.33,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
6500,2020,0,202000,72.59,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7100,2020,0,202000,71.69,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7200,2020,0,202000,68.69,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7300,2020,0,202000,70.57,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7400,2020,0,202000,71.22,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7500,2020,0,202000,68.07,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
7600,2020,0,202000,65.06,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
8100,2020,0,202000,65.98,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
8200,2020,0,202000,68.33,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
9100,2020,0,202000,66.02,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
9400,2020,0,202000,65.79,71.47,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1000,2019,0,201900,71.34,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1100,2019,0,201900,69.87,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1200,2019,0,201900,68.95,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1300,2019,0,201900,69.31,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1400,2019,0,201900,71.48,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1500,2019,0,201900,71.06,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1600,2019,0,201900,69.65,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
1700,2019,0,201900,69.21,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh
