wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,72.29,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1101,2021,00,202100,66.41,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1102,2021,00,202100,69.22,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1103,2021,00,202100,67.44,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1104,2021,00,202100,69.44,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1105,2021,00,202100,67.83,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1106,2021,00,202100,73.37,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1107,2021,00,202100,71.67,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1108,2021,00,202100,73.58,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1109,2021,00,202100,70.7,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1110,2021,00,202100,72.33,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1111,2021,00,202100,69.46,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1112,2021,00,202100,66.99,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1113,2021,00,202100,67.56,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1114,2021,00,202100,69.48,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1115,2021,00,202100,69.31,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1116,2021,00,202100,69.84,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1117,2021,00,202100,73.27,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1118,2021,00,202100,73.6,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1171,2021,00,202100,85.71,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1172,2021,00,202100,76.11,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1173,2021,00,202100,77.44,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1174,2021,00,202100,77.57,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1175,2021,00,202100,65.27,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1201,2021,00,202100,62.74,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1202,2021,00,202100,67.19,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1203,2021,00,202100,70.33,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1204,2021,00,202100,69.61,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1205,2021,00,202100,73.76,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1206,2021,00,202100,75.39,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1207,2021,00,202100,72.09,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1208,2021,00,202100,70.49,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1209,2021,00,202100,73.4,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
1210,2021,00,202100,71.84,72.29,,,,,2021-11-15,,Badan Pusat Statistik,5,ind1_ipm
