wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,02,202002,6882200,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1100,2020,02,202002,136064,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1200,2020,02,202002,345014,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1300,2020,02,202002,146577,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1400,2020,02,202002,168687,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1500,2020,02,202002,80237,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1600,2020,02,202002,166751,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1700,2020,02,202002,34811,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1800,2020,02,202002,189734,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1900,2020,02,202002,26472,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
2100,2020,02,202002,59170,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3100,2020,02,202002,268324,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3200,2020,02,202002,1870108,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3300,2020,02,202002,798149,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3400,2020,02,202002,72972,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3500,2020,02,202002,816002,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
3600,2020,02,202002,489216,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5100,2020,02,202002,31327,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5200,2020,02,202002,78217,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
5300,2020,02,202002,73703,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6100,2020,02,202002,117404,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6200,2020,02,202002,48580,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6300,2020,02,202002,85826,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6400,2020,02,202002,137189,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
6500,2020,02,202002,20867,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7100,2020,02,202002,68219,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7200,2020,02,202002,47064,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7300,2020,02,202002,252499,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7400,2020,02,202002,41772,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7500,2020,02,202002,21166,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
7600,2020,02,202002,17598,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
8100,2020,02,202002,52710,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
8200,2020,02,202002,23436,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
9100,2020,02,202002,30039,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
9400,2020,02,202002,66296,6882200,,,,,2020-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1000,2021,02,202102,8746008,8746008,,,,,2021-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1100,2021,02,202102,160562,8746008,,,,,2021-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
1200,2021,02,202102,449379,8746008,,,,,2021-05-05,Orang,Badan Pusat Statistik,4,ind1_pengangguran
