wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,,,
1000,2021,00,202100,62335696.98,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1100,2021,00,202100,33884706.27,62335696.98,,,32940000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1200,2021,00,202100,57501066.6,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1300,2021,00,202100,45046249.26,62335696.98,,,50930000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1400,2021,00,202100,119324984.1,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1500,2021,00,202100,64187378.13,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1600,2021,00,202100,56485418.15,62335696.98,,,57278000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1700,2021,00,202100,39464555.64,62335696.98,,,34500000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1800,2021,00,202100,43194830.37,62335696.98,,,44000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
1900,2021,00,202100,59344499.38,62335696.98,,,55290000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
2100,2021,00,202100,115872006.9,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
3100,2021,00,202100,273785167.4,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
3200,2021,00,202100,44105278.49,62335696.98,,,44410000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
3300,2021,00,202100,40690778.42,62335696.98,,,41870000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
3400,2021,00,202100,37622580.47,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
3500,2021,00,202100,61123050.45,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
3600,2021,00,202100,50933900.35,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
5100,2021,00,202100,49209689.7,62335696.98,,,59000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
5200,2021,00,202100,26451505.14,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
5300,2021,00,202100,19841107.95,62335696.98,,,20000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
6100,2021,00,202100,44804501.35,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
6200,2021,00,202100,62449930.2,62335696.98,,,50000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
6300,2021,00,202100,44579975.92,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
6400,2021,00,202100,187429785.1,62335696.98,,,91523139,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
6500,2021,00,202100,153451053.8,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
7100,2021,00,202100,56341374.95,62335696.98,,,45000000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
7200,2021,00,202100,79139786.6,62335696.98,,,58090000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
7300,2021,00,202100,60877381.03,62335696.98,,,65760000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
7400,2021,00,202100,50692621.76,62335696.98,,,41320000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
7500,2021,00,202100,36705719.54,62335696.98,,,37560000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
7600,2021,00,202100,36042815.21,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
8100,2021,00,202100,26857983.82,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
8200,2021,00,202100,41244148.48,62335696.98,,,30964300,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
9100,2021,00,202100,84339109.75,62335696.98,,,,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
9400,2021,00,202100,68449552.09,62335696.98,,,60130000,,2022-02-07,Rp,Badan Pusat Statistik,2,ind1_pdrbkapita_adhb,,,
