wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2021,00,202100,11156000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1100,2021,00,202100,9572000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1200,2021,00,202100,10499000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1300,2021,00,202100,10790000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1400,2021,00,202100,10736000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1500,2021,00,202100,10588000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1600,2021,00,202100,10662000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1700,2021,00,202100,10487000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1800,2021,00,202100,10038000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
1900,2021,00,202100,12819000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
2100,2021,00,202100,14122000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
3100,2021,00,202100,18520000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
3200,2021,00,202100,10934000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
3300,2021,00,202100,11034000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
3400,2021,00,202100,14111000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
3500,2021,00,202100,11707000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
3600,2021,00,202100,12033000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
5100,2021,00,202100,13820000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
5200,2021,00,202100,10377000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
5300,2021,00,202100,7554000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
6100,2021,00,202100,8974000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
6200,2021,00,202100,11182000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
6300,2021,00,202100,12143000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
6400,2021,00,202100,12116000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
6500,2021,00,202100,9075000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
7100,2021,00,202100,10882000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
7200,2021,00,202100,9378000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
7300,2021,00,202100,11184000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
7400,2021,00,202100,9381000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
7500,2021,00,202100,10157000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
7600,2021,00,202100,9153000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
8100,2021,00,202100,8770000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
8200,2021,00,202100,8140000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
9100,2021,00,202100,7929000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
9400,2021,00,202100,6955000,11156000,,,,,2021-11-15,Juta Rp,Badan Pusat Statistik,11,ind1_pengeluarankapita
